Gene,MarkerType,Celltype
ZEB2,,preDC
IRF4,,preDC
KLF4,,preDC
XCR1,,cDC1
XCR1,,cDC1
BATF3,,cDC1
ID2,,cDC1
IFR8,,cDC1
BDCA3,,cDC1
ITGAE,,cDC1
HLA-DRA,,cDC1
HLA-DRB5,,cDC1
HLA-DRB1,,cDC1
CLEC9A,,cDC1
CD1C,,cDC2
ID2,,cDC2
ZEB2,,cDC2
IFR4,,cDC2
NOTCH2,,cDC2
KLF4,,cDC2
HLA-DRA,,cDC2
HLA-DRB5,,cDC2
HLA-DRB1,,cDC2
DCIR,,cDC2
HLA-DRA,,cDC2A
HLA-DRB5,,cDC2A
HLA-DRB1,,cDC2A
HLA-DRA,,cDC2B
HLA-DRB5,,cDC2B
HLA-DRB1,,cDC2B
IL3RA,,pDC
HLA-DRA,,pDC
HLA-DRB5,,pDC
HLA-DRB1,,pDC
CLEC4C,,pDC
SIRPA,,pDC
E2-2,,pDC
ZEB2,,pDC
IRF8,,pDC
IRF4,,pDC
IRF4,,moDC
ZBTB46,,moDC